Index,Combined,Private/Public,
206,Lakeville South MN,Public,
207,Thomas Edison EnergySmart Charter NJ,Public,Charter
208,Ramsay AL,Public,Magnet
209,Dublin CA,Public,
210,Colleyville Heritage TX,Public,
211,Loveless Academic Magnet Program AL,Public,Magnet
212,Murrah MS,Public,
213,Montgomery AL,Public,
214,Sage Hill CA,Private,
215,Plano East TX,Public,
216,Claudia Taylor Johnson TX,Public,
217,Minnetonka MN,Public,
218,Durham NC,Private,
219,Cypress Bay FL,Public,
220,Summit NJ,Public,
221,Evanston Twp IL,Public,
222,St Francis CA,Private,
223,McMillen TX,Public,
224,BASIS San Antonio Shavano TX,Public,Charter
225,Newark Science NJ,Public,Magnet
226,Thomas Jefferson HSST VA,Public,Magnet
227,Reagan TX,Public,
228,Hebron TX,Public,
229,Carter CA,Public,
230,Kinkaid TX,Private,
231,Grapevine TX,Public,
232,American Heritage Broward FL,Private,
233,Syosset NY,Public,
234,William P. Clements TX,Public,
235,Claremont CA,Public,
236,Chase Earland Independent NJ,Public,Charter
237,Myers Park NC,Public,
238,Plano East Sr TX,Public,
239,Idaho Independent ID,Public,
240,Village TX,Private,
241,Newport WA,Public,
242,Hunter College Unaffiliated NY,Public,Magnet
243,Sammamish Independent WA,Public,
244,McLean VA,Public,
245,Holy Trinity Episcopal FL,Private,
246,Stratford TX,Public,
247,College Park Independent TX,Public,
248,Cottonwood Classical Prep NM,Public,
249,Texas City TX,Public,
250,Independence TX,Public,
251,Mountain View AZ,Public,
252,McClintock AZ,Public,
253,Buffalo WY,Public,
254,Scripps Ranch CA,Public,
255,Tempe Prep AZ,Public,Charter
256,New Jersey Independent NJ,Public,
257,Granite Bay CA,Public,
258,Chaminade NY,Private,
259,Mercer Island WA,Public,
260,New Jersey Independent NJ,Public,
261,Hill PA,Private,
262,Los Alamos NM,Public,
263,Brookline MA,Public,
264,Aragon CA,Public,
265,Hamilton AZ,Public,
266,Ardsley NY,Public,
267,Exeter NH,Public,
268,Westford MA,Public,
269,Sunnyslope AZ,Public,
270,Asheville NC,Public,
271,Frank W. Cox VA,Public,
272,Southern Lehigh PA,Public,
273,Mavericks AZ,Public,
274,Half Hollow Hills HS East NY,Public,
275,Roslyn NY,Public,
276,Northeast FL,Public,Magnet
277,MHDC TX,Public,
278,BASIS Ahwatukee AZ,Public,Charter
279,Cheyenne East WY,Public,
280,Denfeld MN,Public,
281,Munster IN,Public,
282,Randolph NJ,Public,
283,King's CA,Private,
284,AF Brooklyn NY,Public,Charter
285,Agoura CA,Public ,
286,Live Oak CA,Public ,
287,Northwood CA,Public ,
288,Lynbrook CA,Public ,
289,Carmel Valley CA,Public ,
290,Meadows NV,Private,
291,West Ranch CA,Public ,
292,Olathe East KS,Public ,
293,Academy Of Classical Christian Studies OK,Private,
294,Solebury PA,Private,
295,John H Guyer TX,Public ,
296,Shady Side PA,Private,
297,Strake Jesuit College Prep TX,Private,
298,Princeton Independent ME,Public ,
299,Sam Barlow OR,Public ,
300,OES OR,Private,
301,Perry AZ,Public ,
302,Sharon MA,Public ,
303,Sidwell Independent DC,Private,
304,Boise ID,Public ,
305,San Mateo CA,Public ,
